station,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,daylightmins,tminsq,tmaxsq,tavgsq,departsq,wetbulbsq,heatsq,coolsq,preciptotalsq,resultspeedsq,resultdirsq,avgspeedsq,stnpressuresq,sealevelsq,daylightminssq,tmin_sma_3,tmax_sma_3,tavg_sma_3,tmin_sma_7,tmax_sma_7,tavg_sma_7,daylightmin_sma_3,daylightmin_sma_7,avgspeed_sma_3,avgspeed_sma_7,resultspeed_sma_3,resultspeed_sma_7,stnpressure_sma_3,stnpressure_sma_7,heat_sma_3,heat_sma_7,cool_sma_3,cool_sma_7,wetbulb_sma_3,wetbulb_sma_7
2,2007-05-01 00:00:00,84,52,68.0,14.0,51,57.0,0.0,3.0,1900-01-01 04:48:00,1900-01-01 18:49:00,0.0,29.18,29.82,2.7,25,9.6,2007,5,1,841.0,2704,7056,4624.0,196.0,3249.0,0.0,9.0,0.0,7.290000000000001,625,92.16,851.4724,889.2324,707281.0,51.0,83.5,67.5,51.0,83.5,67.5,841.0,841.0,9.399999999999999,9.399999999999999,2.2,2.2,29.14,29.14,0.0,0.0,2.5,2.5,56.5,56.5
2,2007-05-02 00:00:00,60,43,52.0,-3.0,42,47.0,13.0,0.0,1900-01-01 04:47:00,1900-01-01 18:50:00,0.0,29.44,30.08,13.3,2,13.4,2007,5,2,843.0,1849,3600,2704.0,9.0,2209.0,169.0,0.0,0.0,176.89000000000001,4,179.56,866.7136,904.8063999999999,710649.0,45.666666666666664,67.66666666666667,57.0,46.75,71.5,59.5,842.3333333333334,842.0,12.133333333333331,11.399999999999999,9.666666666666666,7.675,29.333333333333332,29.275,9.0,6.75,1.0,1.25,50.333333333333336,51.75
2,2007-05-03 00:00:00,67,48,58.0,2.0,40,50.0,7.0,0.0,1900-01-01 04:46:00,1900-01-01 18:51:00,0.0,29.46,30.12,12.9,6,13.2,2007,5,3,845.0,2304,4489,3364.0,4.0,2500.0,49.0,0.0,0.0,166.41,36,174.23999999999998,867.8916,907.2144000000001,714025.0,45.666666666666664,64.33333333333333,55.333333333333336,46.833333333333336,69.83333333333333,58.666666666666664,844.3333333333334,843.0,12.83333333333333,11.783333333333331,12.633333333333333,9.216666666666667,29.430000000000007,29.325000000000003,9.666666666666666,7.166666666666667,0.0,0.8333333333333334,48.333333333333336,50.833333333333336
2,2007-05-04 00:00:00,78,51,13.5,4.0,42,50.0,51.5,0.0,1900-01-01 04:44:00,1900-01-01 18:52:00,0.0,29.36,30.04,10.1,7,10.4,2007,5,4,848.0,2601,6084,182.25,16.0,2500.0,2652.25,0.0,0.0,102.00999999999999,49,108.16000000000001,862.0096,902.4015999999999,719104.0,49.333333333333336,70.33333333333333,43.166666666666664,47.285714285714285,68.57142857142857,50.92857142857143,847.0,844.7142857142857,11.466666666666667,11.814285714285713,11.133333333333335,10.585714285714285,29.376666666666676,29.360000000000003,21.833333333333332,14.5,0.0,0.42857142857142855,50.0,49.857142857142854
2,2007-05-05 00:00:00,66,54,60.0,5.0,39,50.0,5.0,0.0,1900-01-01 04:43:00,1900-01-01 18:53:00,0.0,29.46,30.09,11.2,7,11.5,2007,5,5,850.0,2916,4356,3600.0,25.0,2500.0,25.0,0.0,0.0,125.43999999999998,49,132.25,867.8916,905.4081,722500.0,52.666666666666664,70.0,44.5,49.142857142857146,67.0,51.07142857142857,849.3333333333334,847.0,11.300000000000002,11.885714285714284,11.000000000000002,11.614285714285714,29.406666666666677,29.402857142857147,20.5,13.928571428571429,0.0,0.0,49.666666666666664,49.142857142857146
2,2007-05-06 00:00:00,68,52,60.0,4.0,30,46.0,5.0,0.0,1900-01-01 04:42:00,1900-01-01 18:55:00,0.0,29.62,30.28,13.8,10,14.5,2007,5,6,853.0,2704,4624,3600.0,16.0,2116.0,25.0,0.0,0.0,190.44000000000003,100,210.25,877.3444000000001,916.8784,727609.0,51.666666666666664,67.33333333333333,59.666666666666664,50.857142857142854,68.42857142857143,52.642857142857146,852.0,849.5714285714286,13.66666666666667,12.485714285714282,13.133333333333335,12.071428571428571,29.55000000000001,29.454285714285714,5.333333333333333,12.357142857142858,0.0,0.0,47.333333333333336,48.714285714285715
2,2007-05-07 00:00:00,84,50,67.0,10.0,39,53.0,0.0,2.0,1900-01-01 04:41:00,1900-01-01 18:56:00,0.0,29.44,30.12,8.5,17,9.9,2007,5,7,855.0,2500,7056,4489.0,100.0,2809.0,0.0,4.0,0.0,72.25,289,98.01,866.7136,907.2144000000001,731025.0,49.666666666666664,78.33333333333333,64.0,50.857142857142854,73.28571428571429,54.92857142857143,854.3333333333334,852.0,11.633333333333335,11.97142857142857,10.300000000000004,11.185714285714283,29.480000000000008,29.46142857142857,1.6666666666666667,10.357142857142858,0.6666666666666666,0.2857142857142857,51.0,49.714285714285715
2,2007-05-08 00:00:00,80,60,70.0,12.0,57,63.0,0.0,5.0,1900-01-01 04:39:00,1900-01-01 18:57:00,0.0,29.36,30.02,2.5,8,5.4,2007,5,8,858.0,3600,6400,4900.0,144.0,3969.0,0.0,25.0,0.0,6.25,64,29.160000000000004,862.0096,901.2004,736164.0,54.666666666666664,82.0,68.33333333333333,52.285714285714285,75.85714285714286,64.14285714285714,857.0,854.5714285714286,7.033333333333334,10.371428571428568,4.566666666666672,8.814285714285713,29.36333333333334,29.44571428571428,0.0,2.2857142857142856,3.3333333333333335,1.4285714285714286,59.333333333333336,53.42857142857143
2,2007-05-09 00:00:00,76,63,70.0,13.0,60,63.0,0.0,5.0,1900-01-01 04:38:00,1900-01-01 18:58:00,0.02,29.28,29.93,3.9,7,5.9,2007,5,9,860.0,3969,5776,4900.0,169.0,3969.0,0.0,25.0,0.0004,15.209999999999999,49,34.81,857.3184000000001,895.8049,739600.0,61.333333333333336,77.66666666666667,69.66666666666667,55.285714285714285,78.57142857142857,67.0,859.3333333333334,857.0,5.833333333333332,8.314285714285713,3.4333333333333385,6.2714285714285705,29.283333333333342,29.368571428571425,0.0,0.7142857142857143,4.666666666666667,2.7142857142857144,63.0,57.714285714285715
2,2007-05-10 00:00:00,83,59,71.0,14.0,52,61.0,0.0,6.0,1900-01-01 04:37:00,1900-01-01 18:59:00,0.0,29.26,29.91,2.0,9,3.9,2007,5,10,862.0,3481,6889,5041.0,196.0,3721.0,0.0,36.0,0.0,4.0,81,15.209999999999999,856.1476000000001,894.6081,743044.0,59.333333333333336,81.0,70.33333333333333,57.57142857142857,80.85714285714286,69.28571428571429,861.3333333333334,859.2857142857143,4.633333333333332,5.885714285714284,2.2000000000000046,3.4571428571428564,29.24666666666668,29.291428571428565,0.0,0.0,5.333333333333333,4.285714285714286,61.333333333333336,60.714285714285715
2,2007-05-11 00:00:00,73,49,61.0,4.0,44,51.0,4.0,0.0,1900-01-01 04:36:00,1900-01-01 19:00:00,0.0,29.39,30.03,11.7,36,12.8,2007,5,11,864.0,2401,5329,3721.0,16.0,2601.0,16.0,0.0,0.0,136.89,1296,163.84000000000003,863.7721,901.8009000000001,746496.0,53.0,75.33333333333333,64.33333333333333,57.0,77.57142857142857,67.42857142857143,863.3333333333334,861.4285714285714,9.866666666666667,7.314285714285712,8.333333333333337,5.142857142857143,29.32666666666668,29.289999999999992,2.6666666666666665,1.1428571428571428,2.0,3.5714285714285716,54.333333333333336,58.857142857142854
2,2007-05-12 00:00:00,65,47,56.0,-2.0,37,46.0,9.0,0.0,1900-01-01 04:35:00,1900-01-01 19:01:00,0.0,29.54,30.19,12.7,1,13.0,2007,5,12,866.0,2209,4225,3136.0,4.0,2116.0,81.0,0.0,0.0,161.29,1,169.0,872.6116,911.4361000000001,749956.0,47.333333333333336,67.33333333333333,57.333333333333336,53.0,73.57142857142857,63.42857142857143,865.3333333333334,863.4285714285714,12.9,9.357142857142856,12.266666666666671,7.814285714285714,29.473333333333343,29.355714285714278,7.666666666666667,3.857142857142857,0.0,2.2857142857142856,47.666666666666664,54.0
2,2007-05-13 00:00:00,69,44,57.0,-2.0,32,46.0,8.0,0.0,1900-01-01 04:34:00,1900-01-01 19:02:00,0.0,29.55,30.24,6.4,11,7.6,2007,5,13,868.0,1936,4761,3249.0,4.0,2116.0,64.0,0.0,0.0,40.96000000000001,121,57.76,873.2025,914.4576,753424.0,44.666666666666664,67.66666666666667,56.333333333333336,48.42857142857143,70.42857142857143,59.57142857142857,867.3333333333334,865.4285714285714,9.566666666666668,10.171428571428567,8.566666666666672,9.014285714285714,29.526666666666674,29.435714285714283,8.666666666666666,6.285714285714286,0.0,0.8571428571428571,46.0,49.57142857142857
2,2007-05-14 00:00:00,90,54,72.0,15.0,45,58.0,0.0,7.0,1900-01-01 04:33:00,1900-01-01 19:03:00,0.0,29.31,29.98,14.1,21,14.6,2007,5,14,870.0,2916,8100,5184.0,225.0,3364.0,0.0,49.0,0.0,198.81,441,213.16,859.0760999999999,898.8004000000001,756900.0,51.333333333333336,83.0,67.33333333333333,48.42857142857143,74.28571428571429,61.42857142857143,869.3333333333334,867.4285714285714,13.166666666666666,12.328571428571422,12.46666666666667,11.542857142857143,29.363333333333347,29.428571428571427,2.6666666666666665,5.714285714285714,5.0,2.142857142857143,54.333333333333336,50.285714285714285
2,2007-05-15 00:00:00,82,56,69.0,11.0,56,61.0,0.0,4.0,1900-01-01 04:32:00,1900-01-01 19:04:00,0.6,29.19,29.83,8.1,25,10.8,2007,5,15,872.0,3136,6724,4761.0,121.0,3721.0,0.0,16.0,0.36,65.61,625,116.64000000000001,852.0561000000001,889.8288999999999,760384.0,55.666666666666664,84.0,70.0,51.0,77.85714285714286,64.57142857142857,871.3333333333334,869.4285714285714,12.566666666666668,11.95714285714285,10.100000000000007,10.414285714285711,29.21000000000001,29.34857142857143,0.0,3.7142857142857144,5.0,3.2857142857142856,60.0,53.857142857142854
2,2007-05-16 00:00:00,64,45,55.0,-4.0,42,47.0,10.0,0.0,1900-01-01 04:31:00,1900-01-01 19:05:00,0.07,29.39,30.03,8.0,36,11.8,2007,5,16,874.0,2025,4096,3025.0,16.0,2209.0,100.0,0.0,0.004900000000000001,64.0,1296,139.24,863.7721,901.8009000000001,763876.0,48.333333333333336,70.66666666666667,59.666666666666664,50.857142857142854,77.28571428571429,64.28571428571429,873.3333333333334,871.4285714285714,11.600000000000003,12.371428571428565,7.966666666666671,9.914285714285711,29.303333333333345,29.304285714285715,6.666666666666667,4.0,1.3333333333333333,3.2857142857142856,52.0,54.285714285714285
